receives_your_dm,profile_banner_url,created_at,most_recent_tweet_id,profile_image_url,verified,entities,username,description,id,connection_status,verified_type,location,url,subscription_type,protected,name,pinned_tweet_id,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,public_metrics.like_count
True,https://pbs.twimg.com/profile_banners/1409638531/1663695433,2013-05-07T07:26:52.000Z,1572271631464013825,https://pbs.twimg.com/profile_images/1572278673050304514/GtkQrQq7_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gdaB8Huxq4', 'expanded_url': 'https://youtube.com/c/TheInvestorChannel', 'display_url': 'youtube.com/c/TheInvestorC…'}]}}",InvestorVideos_,Official Twitter Of The Investor Channel on YouTube,1409638531,['followed_by'],none,California,https://t.co/gdaB8Huxq4,None,False,The Investor Channel,,333,804,977,2,30
True,https://pbs.twimg.com/profile_banners/244647486/1606261344,2011-01-29T20:11:04.000Z,1834271521344553185,https://pbs.twimg.com/profile_images/1485632175932383235/8t0DGo6V_normal.jpg,True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OgF8IgNiDo', 'expanded_url': 'https://microstrategy.com', 'display_url': 'microstrategy.com'}]}, 'description': {'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/KbbYe745r3', 'expanded_url': 'http://Hope.com', 'display_url': 'Hope.com'}, {'start': 115, 'end': 138, 'url': 'https://t.co/9Zlq0oHqyh', 'expanded_url': 'http://michael.com', 'display_url': 'michael.com'}, {'start': 156, 'end': 179, 'url': 'https://t.co/4L1s0iwzQ6', 'expanded_url': 'http://saylor.org', 'display_url': 'saylor.org'}], 'hashtags': [{'start': 0, 'end': 8, 'tag': 'Bitcoin'}], 'mentions': [{'start': 52, 'end': 66, 'username': 'MicroStrategy'}, {'start': 94, 'end': 98, 'username': 'MIT'}], 'cashtags': [{'start': 38, 'end': 42, 'tag': 'BTC'}, {'start': 86, 'end': 91, 'tag': 'MSTR'}]}}",saylor,#Bitcoin is https://t.co/KbbYe745r3 | $BTC Hodler | @MicroStrategy Founder & Chairman $MSTR | @MIT Aerospace | bio https://t.co/9Zlq0oHqyh | free education https://t.co/4L1s0iwzQ6 | Tweets are my own.,244647486,['following'],blue,"Miami Beach, FL",https://t.co/OgF8IgNiDo,None,False,Michael Saylor⚡️,1307029562321231873,3551844,612,5303,20560,4814
True,,2015-02-17T20:31:46.000Z,1831415001153953871,https://pbs.twimg.com/profile_images/1819784913609949184/2JqafLbN_normal.jpg,False,"{'description': {'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/zyMKCU8kgU', 'expanded_url': 'http://Hope.com', 'display_url': 'Hope.com'}, {'start': 116, 'end': 139, 'url': 'https://t.co/fzkzORB3fB', 'expanded_url': 'http://Michael.com', 'display_url': 'Michael.com'}, {'start': 157, 'end': 180, 'url': 'https://t.co/Bc3L3cYn7r', 'expanded_url': 'http://saylor.org', 'display_url': 'saylor.org'}], 'hashtags': [{'start': 0, 'end': 8, 'tag': 'Bitcoin'}], 'mentions': [{'start': 95, 'end': 99, 'username': 'MIT'}], 'cashtags': [{'start': 38, 'end': 42, 'tag': 'BTC'}, {'start': 87, 'end': 92, 'tag': 'MSTR'}]}}",saylor_alt,#Bitcoin is https://t.co/zyMKCU8kgU | $BTC Holder | Microstrategy Founder and chairman $MSTR | @MIT Aerospace | bio https://t.co/fzkzORB3fB | free education https://t.co/Bc3L3cYn7r | Tweets are my own,3043557965,['followed_by'],none,Not financial advice ,,None,False,Michael Saylor ,1819783473768366274,27641,6470,77119,360,3201
