protected,location,verified,url,name,entities,description,connection_status,profile_banner_url,profile_image_url,verified_type,receives_your_dm,id,most_recent_tweet_id,username,subscription_type,created_at,pinned_tweet_id,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,public_metrics.like_count
False,California,False,https://t.co/gdaB8Huxq4,The Investor Channel,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gdaB8Huxq4', 'expanded_url': 'https://youtube.com/c/TheInvestorChannel', 'display_url': 'youtube.com/c/TheInvestorC…'}]}}",Official Twitter Of The Investor Channel on YouTube,['followed_by'],https://pbs.twimg.com/profile_banners/1409638531/1663695433,https://pbs.twimg.com/profile_images/1572278673050304514/GtkQrQq7_normal.jpg,none,True,1409638531,1572271631464013825,InvestorVideos_,None,2013-05-07T07:26:52.000Z,,333,804,977,2,30
False,"Miami Beach, FL",True,https://t.co/OgF8IgNiDo,Michael Saylor⚡️,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OgF8IgNiDo', 'expanded_url': 'https://microstrategy.com', 'display_url': 'microstrategy.com'}]}, 'description': {'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/KbbYe745r3', 'expanded_url': 'http://Hope.com', 'display_url': 'Hope.com'}, {'start': 115, 'end': 138, 'url': 'https://t.co/9Zlq0oHqyh', 'expanded_url': 'http://michael.com', 'display_url': 'michael.com'}, {'start': 156, 'end': 179, 'url': 'https://t.co/4L1s0iwzQ6', 'expanded_url': 'http://saylor.org', 'display_url': 'saylor.org'}], 'hashtags': [{'start': 0, 'end': 8, 'tag': 'Bitcoin'}], 'mentions': [{'start': 52, 'end': 66, 'username': 'MicroStrategy'}, {'start': 94, 'end': 98, 'username': 'MIT'}], 'cashtags': [{'start': 38, 'end': 42, 'tag': 'BTC'}, {'start': 86, 'end': 91, 'tag': 'MSTR'}]}}",#Bitcoin is https://t.co/KbbYe745r3 | $BTC Hodler | @MicroStrategy Founder & Chairman $MSTR | @MIT Aerospace | bio https://t.co/9Zlq0oHqyh | free education https://t.co/4L1s0iwzQ6 | Tweets are my own.,['following'],https://pbs.twimg.com/profile_banners/244647486/1606261344,https://pbs.twimg.com/profile_images/1485632175932383235/8t0DGo6V_normal.jpg,blue,True,244647486,1834564555944481227,saylor,None,2011-01-29T20:11:04.000Z,1307029562321231873,3552860,612,5304,20563,4814
False,Not financial advice ,False,,Michael Saylor ,"{'description': {'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/zyMKCU8kgU', 'expanded_url': 'http://Hope.com', 'display_url': 'Hope.com'}, {'start': 116, 'end': 139, 'url': 'https://t.co/fzkzORB3fB', 'expanded_url': 'http://Michael.com', 'display_url': 'Michael.com'}, {'start': 157, 'end': 180, 'url': 'https://t.co/Bc3L3cYn7r', 'expanded_url': 'http://saylor.org', 'display_url': 'saylor.org'}], 'hashtags': [{'start': 0, 'end': 8, 'tag': 'Bitcoin'}], 'mentions': [{'start': 95, 'end': 99, 'username': 'MIT'}], 'cashtags': [{'start': 38, 'end': 42, 'tag': 'BTC'}, {'start': 87, 'end': 92, 'tag': 'MSTR'}]}}",#Bitcoin is https://t.co/zyMKCU8kgU | $BTC Holder | Microstrategy Founder and chairman $MSTR | @MIT Aerospace | bio https://t.co/fzkzORB3fB | free education https://t.co/Bc3L3cYn7r | Tweets are my own,['followed_by'],,https://pbs.twimg.com/profile_images/1819784913609949184/2JqafLbN_normal.jpg,none,True,3043557965,1831415001153953871,saylor_alt,None,2015-02-17T20:31:46.000Z,1819783473768366274,27638,6469,77119,360,3201
